# time_ns rg_A
0.000000000000000000e+00 3.795221617980710960e+01
1.000020000400008054e-02 3.822910573654455391e+01
2.000040000800016107e-02 3.812614543669052125e+01
3.000060001200024334e-02 3.808694010601223567e+01
4.000080001600032215e-02 3.796497773982591895e+01
5.000100002000040095e-02 3.797743842215074750e+01
6.000120002400048669e-02 3.811328564440184863e+01
7.000140002800056549e-02 3.811328475636943125e+01
8.000160003200064429e-02 3.811695764485538973e+01
9.000180003600072309e-02 3.816914345031148770e+01
1.000020000400008019e-01 3.824516884991325583e+01
1.100022000440008807e-01 3.810689865108597019e+01
1.200024000480009734e-01 3.803837216625706219e+01
1.300026000520010383e-01 3.831339382106105518e+01
1.400028000560011310e-01 3.828340153482775321e+01
1.500030000600011959e-01 3.807686642211706385e+01
1.600032000640012886e-01 3.797238838202849820e+01
1.700034000680013813e-01 3.815860698122169481e+01
1.800036000720014462e-01 3.800728548348315172e+01
1.900038000760015389e-01 3.805286843905647487e+01
2.000040000800016038e-01 3.793461162837900957e+01
2.100042000840016965e-01 3.835780078146181182e+01
2.200044000880017614e-01 3.803585431982236287e+01
2.300046000920018541e-01 3.831755938850074017e+01
2.400048000960019468e-01 3.805260377905161562e+01
2.500050001000020394e-01 3.817611599572243364e+01
2.600052001040020766e-01 3.797416831981619367e+01
2.700054001080021693e-01 3.826495761996034162e+01
2.800056001120022620e-01 3.802986410330285594e+01
2.900058001160023546e-01 3.805737827201735968e+01
3.000060001200023918e-01 3.811433749288717365e+01
3.100062001240024845e-01 3.806298561018520843e+01
3.200064001280025772e-01 3.807307929386696799e+01
3.300066001320026698e-01 3.805347724188371217e+01
3.400068001360027625e-01 3.814397126170324270e+01
3.500070001400027997e-01 3.808257173706066112e+01
3.600072001440028924e-01 3.799188666284032934e+01
3.700074001480029851e-01 3.806041086266053242e+01
3.800076001520030777e-01 3.808714583850839830e+01
3.900078001560031149e-01 3.810028402647765233e+01
4.000080001600032076e-01 3.805201628357183097e+01
4.100082001640033003e-01 3.801476587872587487e+01
4.200084001680033929e-01 3.807064379502823925e+01
4.300086001720034856e-01 3.805724481695803263e+01
4.400088001760035228e-01 3.809677596581741454e+01
4.500090001800036155e-01 3.809618862572911979e+01
4.600092001840037081e-01 3.809205330152830271e+01
4.700094001880038008e-01 3.818057506323482642e+01
4.800096001920038935e-01 3.810883301402845547e+01
4.900098001960039307e-01 3.804070852831451788e+01
5.000100002000040789e-01 3.801831205358711685e+01
5.100102002040041160e-01 3.813935696508423234e+01
5.200104002080041532e-01 3.801370831377292347e+01
5.300106002120043014e-01 3.809134072453780107e+01
5.400108002160043386e-01 3.808456252466324088e+01
5.500110002200043757e-01 3.812733457284625871e+01
5.600112002240045239e-01 3.815907905001093070e+01
5.700114002280045611e-01 3.805255646819907156e+01
5.800116002320047093e-01 3.813704335828392544e+01
5.900118002360047464e-01 3.823648118518362082e+01
6.000120002400047836e-01 3.803874138882292044e+01
6.100122002440049318e-01 3.802591605739816316e+01
6.200124002480049690e-01 3.801980760411864679e+01
6.300126002520051172e-01 3.808356573518900490e+01
6.400128002560051543e-01 3.783121601689055069e+01
6.500130002600051915e-01 3.790607261466735878e+01
6.600132002640053397e-01 3.784435704808849010e+01
6.700134002680053769e-01 3.796299715687528220e+01
6.800136002720055250e-01 3.800763671710689806e+01
6.900138002760055622e-01 3.795436054939171555e+01
7.000140002800055994e-01 3.807350120537420679e+01
7.100142002840057476e-01 3.812073361366505253e+01
7.200144002880057847e-01 3.794645095135695811e+01
7.300146002920059329e-01 3.840682764090424683e+01
7.400148002960059701e-01 3.818026453235612649e+01
7.500150003000060073e-01 3.819344205009739568e+01
7.600152003040061555e-01 3.808595544342838934e+01
7.700154003080061926e-01 3.807480124863604232e+01
7.800156003120062298e-01 3.793785634813297492e+01
7.900158003160063780e-01 3.801407265089076049e+01
8.000160003200064152e-01 3.804966191000062992e+01
8.100162003240065633e-01 3.790245010346409771e+01
8.200164003280066005e-01 3.816485950638504931e+01
8.300166003320066377e-01 3.817106483436781872e+01
8.400168003360067859e-01 3.816712378476361778e+01
8.500170003400068230e-01 3.815189474896739341e+01
8.600172003440069712e-01 3.799730127423109849e+01
8.700174003480070084e-01 3.814934485167642464e+01
8.800176003520070456e-01 3.800550353545463622e+01
8.900178003560071938e-01 3.819130143294143664e+01
9.000180003600072309e-01 3.798093876553819825e+01
9.100182003640073791e-01 3.815990101882397312e+01
9.200184003680074163e-01 3.813519429889982604e+01
9.300186003720074535e-01 3.810045586888682578e+01
9.400188003760076016e-01 3.811569542246508036e+01
9.500190003800076388e-01 3.819278585030858153e+01
9.600192003840077870e-01 3.808307450865413557e+01
9.700194003880078242e-01 3.818042528044210115e+01
9.800196003920078613e-01 3.816036463639139953e+01
9.900198003960080095e-01 3.803826858617725293e+01
1.000020000400008158e+00 3.804868518478619421e+01
1.010020200404008195e+00 3.808859734662875240e+01
1.020020400408008232e+00 3.800262301166679890e+01
1.030020600412008269e+00 3.811260608235897962e+01
1.040020800416008306e+00 3.816761985330260387e+01
1.050021000420008566e+00 3.805154064630964683e+01
1.060021200424008603e+00 3.815602475653531656e+01
1.070021400428008640e+00 3.808796181722183860e+01
1.080021600432008677e+00 3.803650389759881989e+01
1.090021800436008714e+00 3.815107613113308105e+01
1.100022000440008751e+00 3.787319098368486436e+01
1.110022200444009011e+00 3.817088796370450154e+01
1.120022400448009048e+00 3.815491833782581921e+01
1.130022600452009085e+00 3.825261224500369650e+01
1.140022800456009122e+00 3.813917443023738230e+01
1.150023000460009159e+00 3.821432737797920254e+01
1.160023200464009419e+00 3.825419348724557977e+01
1.170023400468009456e+00 3.799477975037607536e+01
1.180023600472009493e+00 3.802646068592294881e+01
1.190023800476009530e+00 3.814684387166129653e+01
1.200024000480009567e+00 3.809020895833771903e+01
1.210024200484009826e+00 3.790536888789733894e+01
1.220024400488009864e+00 3.835667249397381795e+01
1.230024600492009901e+00 3.798982674081952382e+01
1.240024800496009938e+00 3.791821024734964851e+01
1.250025000500009975e+00 3.822200522258277289e+01
1.260025200504010234e+00 3.829291333544023956e+01
1.270025400508010271e+00 3.814435823583561103e+01
1.280025600512010309e+00 3.810357064008186967e+01
1.290025800516010346e+00 3.804036152992027553e+01
1.300026000520010383e+00 3.811469564565258850e+01
1.310026200524010642e+00 3.799275940675480001e+01
