# time_ns rmsd_A
0.000000000000000000e+00 2.169831028874960488e+00
1.000020000400008054e-02 2.376596899423421227e+00
2.000040000800016107e-02 1.949244516160872243e+00
3.000060001200024334e-02 2.607691296042812468e+00
4.000080001600032215e-02 2.456223094742361557e+00
5.000100002000040095e-02 2.270181866663547154e+00
6.000120002400048669e-02 2.266228739854953655e+00
7.000140002800056549e-02 2.389412945489007623e+00
8.000160003200064429e-02 2.275141102607154853e+00
9.000180003600072309e-02 2.283518706624522832e+00
1.000020000400008019e-01 2.472741383382351277e+00
1.100022000440008807e-01 2.431696225792731703e+00
1.200024000480009734e-01 2.315956987522555188e+00
1.300026000520010383e-01 2.311714676797486767e+00
1.400028000560011310e-01 2.361020693546808769e+00
1.500030000600011959e-01 2.206061214502583301e+00
1.600032000640012886e-01 2.248142329701380504e+00
1.700034000680013813e-01 2.438571932753712090e+00
1.800036000720014462e-01 2.302850877037512678e+00
1.900038000760015389e-01 2.054089764377019289e+00
2.000040000800016038e-01 2.233546844345789317e+00
2.100042000840016965e-01 2.460354523024571360e+00
2.200044000880017614e-01 2.282601286195997670e+00
2.300046000920018541e-01 2.299338942185535029e+00
2.400048000960019468e-01 2.457480518480561926e+00
2.500050001000020394e-01 2.694062967456307689e+00
2.600052001040020766e-01 2.186530910759895363e+00
2.700054001080021693e-01 2.598837771534175278e+00
2.800056001120022620e-01 2.083221642566714493e+00
2.900058001160023546e-01 2.364247536063686095e+00
3.000060001200023918e-01 2.095373946607733018e+00
3.100062001240024845e-01 2.599599351539410463e+00
3.200064001280025772e-01 2.496120203264450499e+00
3.300066001320026698e-01 2.556906875308017302e+00
3.400068001360027625e-01 2.152284827116208277e+00
3.500070001400027997e-01 2.466330427988792096e+00
3.600072001440028924e-01 2.225644747024863701e+00
3.700074001480029851e-01 2.237998366113828297e+00
3.800076001520030777e-01 2.430810884852121045e+00
3.900078001560031149e-01 2.504875169389157552e+00
4.000080001600032076e-01 2.370443669214605364e+00
4.100082001640033003e-01 2.203990322504797650e+00
4.200084001680033929e-01 2.164452580459189424e+00
4.300086001720034856e-01 2.618507457105420322e+00
4.400088001760035228e-01 2.448461426783359762e+00
4.500090001800036155e-01 2.473646050043293965e+00
4.600092001840037081e-01 2.766426334853342439e+00
4.700094001880038008e-01 2.166584385593517403e+00
4.800096001920038935e-01 2.841676829488683609e+00
4.900098001960039307e-01 2.959995216499630821e+00
5.000100002000040789e-01 2.653524559345414868e+00
5.100102002040041160e-01 2.495291612644059853e+00
5.200104002080041532e-01 2.197134311952784191e+00
5.300106002120043014e-01 2.528824250671282137e+00
5.400108002160043386e-01 2.241417143061819939e+00
5.500110002200043757e-01 2.325653888319079154e+00
5.600112002240045239e-01 2.271925909833263368e+00
5.700114002280045611e-01 2.386807061303567679e+00
